sujet,date,statut
Synthwave et imagerie rétro-futuriste spatiale en décoration,2025-10-12T16:11:57.416634,succès_2025-10-13_09:00
Guardians of the Galaxy : quand les couleurs cosmiques deviennent pop,2025-10-12T16:19:41.226944,échec_publication
Culture rave et nébuleuses fluorescentes dans la déco moderne,2025-10-12T16:23:17.575092,échec_publication
Interstellar et la nouvelle représentation des trous noirs,2025-10-12T16:27:12.139896,succès_2025-10-13_09:00
Science-fiction française et son influence sur l'art spatial européen,2025-10-12T16:32:04.935086,succès_2025-10-13_09:00
Mouvement Outrun : l'obsession pour les horizons cosmiques,2025-10-12T16:41:30.372107,succès_2025-10-13_09:00
Steampunk spatial : l'astronomie rétro réinventée en décoration,2025-10-12T16:48:53.656826,succès_2025-10-13_09:00
Influence de Moebius sur l'esthétique désertique-spatiale,2025-10-12T16:53:15.460124,échec_publication
Cosmic Horror : de Lovecraft aux intérieurs gothiques spatiaux,2025-10-12T16:57:11.553343,échec_publication
Mythologies stellaires africaines dans l'art contemporain,2025-10-12T17:00:29.733276,échec_publication
Science-fiction française et son influence sur l'art spatial européen,2025-10-12T17:38:22.666723,succès
Mouvement Outrun : l'obsession pour les horizons cosmiques,2025-10-13T06:58:49.863457,succès
Steampunk spatial : l'astronomie rétro réinventée en décoration,2025-10-13T07:04:34.644217,succès
Influence de Moebius sur l'esthétique désertique-spatiale,2025-10-13T07:09:10.602359,succès
Comment choisir une palette de couleurs neutres pour un Airbnb ?,2025-10-13T07:48:48.775953,succès
Quelles sont les meilleures idées de décoration minimaliste pour location saisonnière ?,2025-10-13T07:53:18.247636,succès
Pourquoi les tableaux de scènes quotidiennes banales sont-ils rassurants pour les seniors ?,2025-10-20T11:29:32.669124,succès
Quelle est l'influence des couleurs des tableaux sur l'humeur des résidents âgés ?,2025-10-23T06:02:48.971917,succès
Les tableaux régionaux renforcent-ils le sentiment d'appartenance dans les résidences seniors ?,2025-10-27T06:02:42.942462,succès
Comment les tableaux de grands formats créent-ils des points de repère visuels ?,2025-10-30T06:02:51.946907,succès
Pourquoi les tableaux avec trop de détails peuvent-ils être source de confusion cognitive ?,2025-11-03T06:03:02.860440,succès
Quelle est la psychologie environnementale appliquée aux tableaux en gérontologie ?,2025-11-06T06:02:46.869062,succès
Les tableaux d'époques révolues facilitent-ils les conversations intergénérationnelles ?,2025-11-10T06:03:24.675913,succès
